id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras,normalizados
1,14,37,4,6,408,1
2,-9,59,-3,8,615,5
3,5,11,1,1,108,2.5652173913043477
4,2,38,2,12,391,3.0869565217391304
5,-8,30,-2,4,195,4.826086956521739
6,0,0,0,0,15,3.4347826086956523
7,-2,39,-1,7,340,3.782608695652174
8,0,1,0,0,42,3.4347826086956523
9,-2,20,-2,3,133,3.782608695652174
10,-1,48,-5,9,340,3.608695652173913
11,1,8,-1,3,136,3.2608695652173916
12,1,4,0,0,50,3.2608695652173916
13,-2,18,6,6,175,3.782608695652174
14,-2,10,1,2,54,3.782608695652174
15,0,8,1,1,49,3.4347826086956523
16,-1,6,-1,1,47,3.608695652173913
17,4,17,0,2,135,2.739130434782609
18,4,13,-2,3,117,2.739130434782609
19,0,15,0,3,73,3.4347826086956523
20,3,29,1,3,200,2.9130434782608696
21,-1,8,-2,2,58,3.608695652173913
22,-1,82,-1,11,646,3.608695652173913
23,-2,22,-3,8,174,3.782608695652174
24,-1,4,0,0,38,3.608695652173913
25,-5,12,-1,3,130,4.304347826086957
26,-1,8,-1,1,140,3.608695652173913
27,1,14,2,2,80,3.2608695652173916
28,0,7,0,0,106,3.4347826086956523
29,1,9,-1,1,110,3.2608695652173916
30,0,5,-1,1,35,3.4347826086956523
31,-1,10,1,1,84,3.608695652173913
32,-2,12,0,0,85,3.782608695652174
33,0,27,-3,7,156,3.4347826086956523
34,1,1,0,0,29,3.2608695652173916
35,0,4,0,0,55,3.4347826086956523
36,1,11,0,0,88,3.2608695652173916
37,1,8,0,2,108,3.2608695652173916
38,-1,2,-1,1,35,3.608695652173913
39,-1,8,2,2,59,3.608695652173913
40,-1,6,0,0,43,3.608695652173913
41,2,23,-1,4,202,3.0869565217391304
42,0,2,-2,3,24,3.4347826086956523
43,-6,23,-4,10,104,4.478260869565218
44,0,27,-3,7,156,3.4347826086956523
45,1,2,-1,1,75,3.2608695652173916
46,0,7,0,0,61,3.4347826086956523
47,-1,6,-1,1,45,3.608695652173913
48,2,11,2,2,59,3.0869565217391304
49,0,2,-1,1,21,3.4347826086956523
50,4,6,0,2,81,2.739130434782609
51,1,3,0,0,42,3.2608695652173916
52,-1,5,-2,3,14,3.608695652173913
53,2,2,0,0,20,3.0869565217391304
54,-1,6,-1,3,40,3.608695652173913
55,-1,7,-2,2,42,3.608695652173913
56,0,13,1,1,75,3.4347826086956523
57,3,12,1,6,56,2.9130434782608696
58,0,12,1,1,102,3.4347826086956523
59,0,2,0,0,20,3.4347826086956523
60,-2,8,-2,2,37,3.782608695652174
